Level Sensor-1,Level Sensor-2,Level Sensor-3, Fluid Flow
63.956682,63.644623,43.25793,280.027032
66.200036,65.41881,42.028104,280.898392
64.763751,64.513786,43.798952,280.315354
65.273518,63.668976,43.57206,280.554011
65.989615,58.887344,44.452149,279.204354
64.7628,60.540927,42.319084,279.969499
64.730155,62.511369,42.87645,279.113382
65.250552,63.505729,42.891068,279.561356
65.121018,65.773184,36.737121,279.55021
64.160212,65.383167,35.362899,281.541422
65.473939,66.035915,40.231252,280.952811
66.463538,67.603277,41.104533,281.56437
66.517822,67.819076,42.394015,281.505033
67.941714,67.232064,42.080871,282.016277
67.755675,66.387249,42.937348,282.688811
65.554847,67.151865,43.748541,281.315714
63.678142,66.554961,42.821559,282.56014
64.040893,66.131769,43.161411,282.351479
62.921382,65.650544,42.097309,282.567516
63.660535,65.898817,42.865085,283.491492
64.057347,61.347868,43.608247,282.746017
65.673655,62.268738,42.578042,282.737494
66.411643,64.040749,43.579702,284.751654
64.326075,65.973716,44.30481,283.618852
66.092914,66.714626,43.652951,284.056664
67.279956,65.461039,42.329553,284.294993
67.149255,65.447482,42.423614,284.64134
64.895061,66.181858,38.427597,284.224018
64.138119,66.792104,39.778837,283.998966
64.212427,66.177404,37.568907,285.245031
65.453345,65.226066,39.750605,284.162387
64.198083,65.111462,41.16907,284.467757
64.497171,64.364659,44.47433,284.455627
60.170431,64.772432,44.285885,285.161763
62.560999,63.986209,44.028871,283.870623
64.544331,63.997736,44.249532,283.481821
66.690557,64.59205,43.902205,284.374163
65.566176,64.061833,42.060625,283.481985
65.043712,64.478594,41.775988,283.916026
66.020842,66.378258,37.181172,285.183236
66.559821,67.90697,40.688846,284.341872
61.9677,66.921916,38.764428,284.755915
63.204282,65.954192,41.809339,286.001489
64.524958,64.590137,41.44215,285.668254
66.080986,61.461801,40.679659,284.076661
66.124329,63.758421,38.576599,283.908814
66.411978,63.550668,39.286176,286.152944
66.585484,64.075085,42.83804,285.405174
67.530228,63.655861,39.057121,284.629211
66.891914,64.869774,40.417409,285.22028
65.780242,65.577719,41.034213,285.518438
63.570222,66.788385,42.115429,285.325021
65.888606,64.672159,43.357645,285.065711
67.188796,65.017754,40.358647,286.069021
63.522761,66.115859,39.172205,284.818694
63.114005,67.434411,41.868948,284.705594
65.142986,67.060975,38.345346,285.855442
65.977809,64.605514,36.80225,285.18258
67.695649,64.449768,40.101356,286.125571
66.625083,63.932374,40.775603,285.673007
66.979531,64.396096,42.418961,285.148978
66.263994,65.123161,43.813175,284.919992
66.899404,64.534716,37.971242,285.468116
68.003249,65.225479,40.514193,284.323186
69.98464,65.902489,41.087651,285.26175
68.316286,65.097135,42.531717,285.718247
68.450771,61.553336,41.957605,284.604788
67.833217,62.813212,39.686049,284.982771
67.82977,63.842352,38.517792,286.548957
66.11997,63.294256,39.501485,285.844952
63.872374,64.131133,42.305861,284.979165
64.361992,63.196636,43.435586,285.051122
66.055578,65.554091,44.111467,286.586329
65.378414,66.168612,43.865857,287.508994
66.962186,66.59697,39.836314,285.858557
61.201348,62.848486,39.091391,285.692677
61.295262,64.626902,35.500412,285.891339
65.45956,64.545819,39.816294,283.482313
65.233694,64.54078,42.120638,284.055188
67.051867,67.090468,43.770685,285.755947
